text,category,priority
Urgent: Remote desktop connection fails,Network,High
Please help. Can you remove system access for departing employee. Last day is 10/16/2025,End of Employment,High
Need assistance: Please schedule account deactivation for 10/28/2025. User is separating from the company Can someone take a look?,End of Employment,Medium
My account is locked after too many login attempts.,Access,Medium
End of employment request for Avery Miller. Last working day is 04/01/2025 Thanks.,End of Employment,High
Urgent: Laptop screen flickers when docked,Hardware,High
Please help. I need access to the HR shared drive Please advise.,Access,Medium
Please schedule account deactivation for 07/25/2025. User is separating from the company,End of Employment,Medium
Internet is extremely slow on my laptop.,Network,Low
"Need assistance: Set up badge, laptop, and software for new hire Drew Lewis, starting 05/05/2025",New Hire,Medium
Please help. I am not receiving emails from external senders,Email,Medium
I get a permission error when opening the database Please advise.,Access,Medium
"Need assistance: New employee starting 10/13/2025. Need laptop, email, and system access",New Hire,Medium
"Hello, My MFA code is not being accepted Thanks.",Access,High
I am not receiving emails from external senders.,Email,Medium
Urgent: I lose access to the network after waking the laptop Please advise.,Network,Medium
I cannot send email from my phone,Email,Medium
Please prepare access for incoming employee Morgan Patel. Start date: 12/01/2025,New Hire,High
"Hi team, My email signature disappeared after the update",Email,Medium
Teams will not open after restarting the laptop Can someone take a look?,Software,High
"Hi team, Teams will not open after restarting the laptop Can someone take a look?",Software,Medium
Onboarding request: Drew Lewis will start on 02/09/2025 Can someone take a look?,New Hire,High
"Hello, Connection times out when I try to open the intranet",Network,High
Urgent: My MFA code is not being accepted,Access,High
The company portal loads very slowly.,Network,Medium
"Hello, Please prepare access for incoming employee Skyler Moore. Start date: 07/28/2025 Can someone take a look?",New Hire,Low
Please help. I cannot connect to the printer from my laptop.,Printer,High
"Hi team, I am unable to scan to email from the printer This is impacting work.",Printer,Medium
Urgent: I am unable to scan to email from the printer Can someone take a look?,Printer,Low
Need assistance: I am not receiving emails from external senders.,Email,Medium
Urgent: User separation request. Last day is 06/26/2025,End of Employment,Medium
I cannot send email from my phone.,Email,Medium
Please help. Please schedule account deactivation for 12/19/2025. User is separating from the company Please advise.,End of Employment,Medium
New Hire Morgan Patel starts 09/15/2025. Please prepare laptop and accounts Thanks.,New Hire,High
Please help. End of employment request for Riley Davis. Last working day is 11/10/2025 This is impacting work.,End of Employment,High
Please help. VPN connects but Unable to access shared drives This is impacting work.,Network,High
"Hi team, The printer prints blank pages Thanks.",Printer,Medium
Docking station is not working,Hardware,High
"New employee starting 05/07/2025. Need laptop, email, and system access.",New Hire,Low
Need assistance: Spam filter is blocking valid messages Can someone take a look?,Email,Medium
"Hello, I am unable to scan to email from the printer Please advise.",Printer,Low
Urgent: Adobe Acrobat continues to asking for a license Thanks.,Software,Medium
"Hi team, VPN disconnects every few minutes Can someone take a look?",Network,High
"Hi team, The software is running very slowly.",Software,Medium
I cannot open archived emails This is impacting work.,Email,Medium
The paper tray is not being recognized,Printer,Medium
Casey Brown starts 12/17/2025. Please create accounts and assign equipment This is impacting work.,New Hire,High
"Hi team, VPN connects but I am unable to access shared drives Can someone take a look?",Network,High
"Hi team, USB ports are not recognizing devices",Hardware,Medium
Need assistance: VPN connects but I can't access shared drives.,Network,Medium
Please help. Offboarding needed. Casey Brown is leaving on 03/04/2025 Please advise.,End of Employment,High
The printer is not detected on the network.,Printer,Medium
"Hi team, End of employment request for Morgan Patel. Last working day is 06/17/2025",End of Employment,High
Need assistance: Onboarding request: Skyler Moore will start on 09/11/2025 This is impacting work.,New Hire,Medium
Urgent: The printer shows offline status Please advise.,Printer,High
Unable to access the payroll system.,Access,Medium
My network drive continues to disconnecting Please advise.,Network,High
I cannot access the internal company website Please advise.,Network,Medium
"Hi team, Onboarding request: Morgan Patel will start on 03/13/2025",New Hire,Low
Internet is extremely slow on my laptop Thanks.,Network,Low
Need assistance: New Hire paperwork complete. Cameron Wilson begins on 05/19/2025.,New Hire,High
A new employee cannot access onboarding tools,Access,High
Urgent: Remote desktop connection fails Can someone take a look?,Network,High
"Hello, Keyboard is typing the wrong characters",Hardware,High
The software is running very slowly This is impacting work.,Software,Medium
Please help. I am unable to scan to email from the printer,Printer,High
I am unable to scan to email from the printer This is impacting work.,Printer,Medium
Urgent: I lose access to the network after waking the laptop,Network,High
I cannot connect to office Wi-Fi,Network,High
"Hello, The application window appears blank This is impacting work.",Software,Medium
The printer shows offline status Thanks.,Printer,Low
I lose access to the network after waking the laptop.,Network,Medium
"Hello, The application window appears blank This is impacting work.",Software,Low
"Hi team, Laptop will not power on Please advise.",Hardware,High
"Hello, Keyboard is typing the wrong characters Thanks.",Hardware,High
Need assistance: My headset is not being detected.,Hardware,Medium
Urgent: My account permissions were removed unexpectedly Can someone take a look?,Access,High
New Hire paperwork complete. Quinn Anderson begins on 06/16/2025.,New Hire,Medium
Color printing is failing Thanks.,Printer,Medium
VPN disconnects every few minutes Can someone take a look?,Network,High
Need assistance: New hire request for Quinn Anderson. They start on 03/11/2025 This is impacting work.,New Hire,High
Urgent: My mailbox says it is full even after deleting messages.,Email,Medium
"Hello, Laptop will not power on This is impacting work.",Hardware,High
New Hire paperwork complete. Parker Garcia begins on 01/17/2025,New Hire,Medium
Outlook crashes when I open attachments,Email,Medium
"Hi team, The printer says toner is low even after replacement",Printer,Medium
Please help. Unable to connect to the printer from my laptop.,Printer,High
"Hello, Spam filter is blocking valid messages",Email,High
Need assistance: The printer shows offline status This is impacting work.,Printer,Medium
"Hello, Adobe Acrobat keeps asking for a license This is impacting work.",Software,High
"Please help. New employee starting 03/15/2025. Need laptop, email, and system access",New Hire,Medium
"Hello, I cannot install company software",Software,Medium
"Hello, The CRM application continues to logging me out Can someone take a look?",Software,Low
User's last day is 12/01/2025. Please begin offboarding,End of Employment,High
